Réf. fournisseur,Désignation,EAN13,Prix HT,Stock,Conditionnement,Famille,Réf. modèle,Nom modèle,Couleur,Taille,Unité,TVA %,Poids kg,Actif
000126,Plaid polaire 130x170,3761000001264,"26,90",7,1 pc,Maison > Décoration,,,,,pc,20,"0,25",Oui
000127,Coussin velours 45x45,3761000001271,17.90 €,17,1 pc,Maison > Décoration,,,,,pc,20,"0,25",Oui
000129,Lessive liquide concentrée,3761000001295,"10,90",21,2 l,Maison > Entretien,,,,,pc,20,"0,25",Oui
000130,Nettoyant multi-surfaces,3761000001301,"6,90",27,750 ml,Maison > Entretien,,,,,pc,20,"0,25",Oui
001001,T-shirt Basic Noir M,3761000010013,"11,90",18,1 pc,Textile > T-shirts,TSH-BASIC-N,T-shirt Basic Noir,Noir,M,pc,20,"0,25",Oui
001002,T-shirt Basic Noir L,3761000010020,"12,40",15,1 pc,Textile > T-shirts,TSH-BASIC-N,T-shirt Basic Noir,Noir,L,pc,20,"0,25",Oui
001003,T-shirt Basic Noir XL,3761000010037,"11,90",9,1 pc,Textile > T-shirts,TSH-BASIC-N,T-shirt Basic Noir,Noir,XL,pc,20,"0,25",Oui
001004,T-shirt Basic Blanc M,3761000010044,"11,90",20,1 pc,Textile > T-shirts,TSH-BASIC-B,T-shirt Basic Blanc,Blanc,M,pc,20,"0,25",Oui
001005,T-shirt Basic Blanc L,3761000010051,"11,90",13,1 pc,Textile > T-shirts,TSH-BASIC-B,T-shirt Basic Blanc,Blanc,L,pc,20,"0,25",Oui
001006,T-shirt Basic Blanc XL,3761000010068,"11,90",8,1 pc,Textile > T-shirts,TSH-BASIC-B,T-shirt Basic Blanc,Blanc,,pc,20,"0,25",Oui
002001,Chaussure RunFlex Noir 41,3761000020012,"64,90",4,1 pc,Sport > Chaussures,RUNFLEX-N,Chaussure RunFlex Noir,Noir,41,pc,20,"0,25",Oui
002002,Chaussure RunFlex Noir 42,3761000020029,"64,90",7,1 pc,Sport > Chaussures,RUNFLEX-N,Chaussure RunFlex Noir,Noir,42,pc,20,"0,25",Oui
002003,Chaussure RunFlex Noir 43,3761000020036,"64,90",1,1 pc,Sport > Chaussures,RUNFLEX-N,Chaussure RunFlex Noir,Noir,43,pc,20,"0,25",Oui
002004,Chaussure RunFlex Noir 44,3761000020043,"64,90",3,1 pc,Sport > Chaussures,RUNFLEX-N,Chaussure RunFlex Noir,Noir,44,pc,20,"0,25",Oui
003001,Mug céramique Studio Rouge,3761000030011,"8,50",10,1 pc,Maison > Cuisine,MUG-STUDIO,Mug céramique Studio,Rouge,,pc,20,"0,25",Oui
003002,Mug céramique Studio Bleu,3761000030028,"8,50",11,1 pc,Maison > Cuisine,MUG-STUDIO,Mug céramique Studio,Bleu,,pc,20,"0,25",Oui
003003,Mug céramique Studio Blanc,3761000030035,"8,50",9,1 pc,Maison > Cuisine,MUG-STUDIO,Mug céramique Studio,Blanc,,pc,20,"0,25",Oui
721,Adaptateur prise EU compact,3761000007211,"5,90",14,1 pc,Électronique > Accessoires,,,,,pc,20,"0,25",Oui
000131,Thermos repas 650 ml,3761000001318,"21,90",9,1 pc,Maison > Cuisine,,,,,pc,20,"0,25",Oui
000132,Câble HDMI 2.1 2 m,3761000001325,"14,90",18,1 pc,Électronique > Accessoires,,,,,pc,20,"0,25",Oui
000133,Brosse vaisselle bambou,3761000001332,"4,90",25,1 pc,Maison > Cuisine,,,,,pc,20,"0,25",Oui
000119,Gourde sport 1 L - doublon fournisseur,3761000001196,"13,90",3,1 pc,Sport > Fitness,,,,,pc,20,"0,25",Oui
,Produit sans référence,3761990000018,"9,90",5,1 pc,Divers,,,,,pc,20,"0,25",Oui
